# spec-id<TAB>implementing-file<TAB>label — one row per numbered spec requirement
spec-9	README.md	distribution/install docs
spec-4	references/state-schema.md	per-user state data model
spec-8-provenance	references/engines/provenance-engine.md	3-tier labeling + provenance
spec-8-version	references/engines/provenance-engine.md	version awareness alerts
spec-5-discover	references/commands/discover.md	module 1 discovery+validation
spec-5-profile	references/commands/profile.md	module 2 candidate profiling
spec-6-assessment	references/engines/assessment-engine.md	six-way answer classifier + calibration
spec-5-diagnose	references/commands/diagnose.md	module 3 baseline diagnostic
spec-6-priority	references/engines/priority-engine.md	priority formula + forgetting-risk model
spec-5-gaps	references/commands/gaps.md	module 4 gap analysis
spec-5-plan	references/commands/plan.md	module 5 learning-path generation
spec-6-question-generator	references/engines/question-generator.md	original question generator
spec-8-integrity	references/engines/question-generator.md	integrity: original, labeled, no dumps
spec-6-adaptive	references/engines/adaptive-engine.md	adaptive teaching loop state machine
spec-6-analogy	references/engines/analogy-engine.md	real-world analogy engine with breakdown guardrails
spec-5-learn	references/commands/learn.md	module 8 adaptive teaching loop
spec-5-explain	references/commands/explain.md	explain command plain-language analogies
spec-7-orchestration	SKILL.md	session protocol + priority hierarchy + routing
spec-7-explainability	references/coaching-voice.md	explainability narrative
